n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
10	0	0	2	1	0	1	2	1	0	2	0	1	0	0	1	1	0	3.0	0	4	I will comply, thank you for the instruction.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue.	0
7	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	2.0	0	5	Yes of course you are correct.	0
8	0	0	1	0	0	2	0	2	0	1	0	1	1	0	1	1	0	2.0	0	3	The cat will have a squeaky ball.	0
7	0	0	0	1	0	2	0	2	1	1	0	0	0	0	1	1	0	2.0	0	5	Lily had a bath in the lake	0
7	0	0	0	1	0	2	1	2	0	1	0	0	0	0	0	0	0	2.0	0	5	There was no car in the garage	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat purrs on the mat.	0
6	1	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	2.0	0	4	Of course, you can.	0
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The cat purred contentedly on the window sill.	0
5	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1.0	0	2	Alice was eating eggs.	0
5	0	0	1	0	0	0	0	0	1	2	0	0	0	1	1	0	0	2.0	1	2	Mary love to dance.	0
5	0	0	1	0	0	0	0	0	2	1	0	1	0	0	1	1	0	1.0	0	2	Paul is watching Netflix.	0
12	3	1	1	0	0	0	2	0	0	2	0	1	2	1	2	0	0	5.0	1	3	I will make sure they get there as soon as possible.	0
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The caterpillar ate the leaf happily.	0
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog happily chased the cat.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The dog purred contentedly on my lap.	0
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The bird landed peacefully on the tree branch.	0
9	2	0	1	1	0	0	2	0	0	1	0	1	0	0	1	0	0	2.0	0	4	I cannot agree much with you there.	0
16	1	0	3	1	1	3	1	2	0	0	0	2	1	0	2	0	0	2.0	0	14	And the answer is, without any further ado, yes of course you can!	0
11	2	1	1	1	0	1	1	1	1	2	0	0	0	1	2	0	0	3.0	1	4	Sophia laughed gleefully as she ran quickly from the room.	0
7	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	2.0	0	3	Mary will go to the shop.	0
7	0	0	1	1	0	1	1	0	1	2	0	0	0	1	1	0	0	3.0	1	3	I love dancing on Friday nights. 	0
7	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	2.0	0	5	Yes of course you can 🕊️.	0
3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	Its snowing 	0
5	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	1	0	1.0	0	2	I can do that! The cat sat.	0
9	0	0	1	0	0	4	1	0	0	1	1	1	0	0	1	1	0	3.0	0	5	I will have 3 ice cream cones today.	0
8	2	0	0	1	0	1	2	0	0	1	0	1	0	0	1	0	0	2.0	0	5	It is raining in my country right now	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purrs.	0
5	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	3	You will never understand.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The bird swooped down towards the field.	0
6	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	2.0	0	4	yes of course you can.	0
10	1	0	0	2	1	2	1	0	0	2	0	0	0	1	1	0	0	4.0	1	3	And so she waited in hope for deliverance to come	0
11	1	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	5	A big blue whale breathed quietly in the deep ocean.	0
6	1	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	2.0	0	4	Of course, you can.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the window.	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Lol	0
6	2	0	0	0	0	1	1	0	0	2	0	0	0	1	1	1	0	2.0	1	2	Money makes everything turn round smoothly	0
6	1	0	0	0	0	0	2	0	1	1	0	1	0	0	2	0	0	2.0	0	3	I wish it were Friday already	0
6	2	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1.0	0	2	I will be there soon.	0
7	0	0	0	1	0	0	2	1	0	0	0	1	0	0	1	0	0	2.0	0	3	Its not any of you lol	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	0	0	1	2	0	0	1	0	1	0	0	1	1	0	2.0	0	4	I will have my tea now please.	0
4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1	Yes of course! I'll give it a try immediately.	0
5	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1.0	0	3	Sure, no problem.	0
9	1	0	2	0	0	1	1	1	0	1	0	1	1	0	1	1	0	3.0	0	3	You are correct, always trust no one.	0
8	0	0	1	1	0	2	2	1	0	1	0	0	0	0	0	0	0	2.0	0	5	There is a cat on my lap.	0
12	1	0	2	0	0	3	0	2	1	1	0	1	0	0	1	1	0	3.0	0	6	Yes, here's the sentence: Ella licked the ice cream	0
16	0	0	1	2	0	4	0	3	1	2	0	1	1	1	1	2	0	6.0	1	4	"Bill has got an answer to the previous task to generate a sentence without verbs. He has written, ""Bill has an egg."""	0
12	0	0	1	1	0	3	1	2	1	2	0	0	0	1	1	1	0	3.0	1	7	I love to play tennis every Tuesday at the city park.	0
24	0	0	6	3	0	6	1	2	2	2	0	1	0	1	2	0	0	4.0	1	18	"Lionel said to his cousin, Sinead, on the phone, ""The ice cream truck doesn't come until summer."""	0
9	1	0	1	0	1	2	0	0	0	2	0	2	0	0	1	0	0	2.0	0	3	Parking spaces will be numbered and clearly labeled.	1
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	4	Amazonian wildfires rage across the landscape uncontrolled.	1
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The snowplow cleared the road.	1
22	1	0	3	2	1	5	1	2	2	1	0	1	3	0	1	1	0	4.0	0	11	Rachel Brown, an American artist and designer, is currently exploring the potential of upcycled plastic for her sculptural assemblages.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The eagle soared gracefully across the sky.	1
6	1	0	0	0	0	1	0	1	2	1	0	0	0	0	1	1	0	2.0	0	3	Fred Smith completed the project quickly	1
22	1	0	1	3	1	8	1	3	0	1	0	1	1	0	1	0	0	4.0	0	7	The airport's location was deliberately chosen for its proximity to the city center and good connections to the transport network.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
6	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	2	Amy quickly typed the sentence.	1
13	1	0	3	1	0	1	0	0	5	1	0	1	0	0	1	0	0	3.0	0	5	Riverside City College (RCC) is situated northwest of downtown Riverside.	1
7	0	0	1	0	0	1	0	0	2	1	0	0	2	0	1	0	0	3.0	0	2	Tropical Storm Olaf formed last night.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The elephants roam freely in the park.	1
12	1	0	1	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The eagle swoops down to snatch a trout from the stream. 	1
19	1	0	1	3	1	4	0	2	3	1	0	2	1	0	1	0	0	4.0	0	6	The Amazon rainforest is located in South America and is home to an incredibly diverse array of species.	1
19	1	0	3	2	0	5	0	3	2	1	0	0	2	0	1	0	0	4.0	0	13	Joe Johnson, once a star basketball player at the local university, walked into the crowded gym.	1
23	2	1	5	1	0	3	0	1	7	2	0	1	0	1	2	0	0	4.0	1	14	Runway construction at Richard L. Jones, Jr. Airport (IATA: RVS) will begin as soon as the weather improves.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The car chugged up the hill.	1
9	0	0	1	1	0	2	1	0	0	1	0	1	2	0	1	0	0	2.0	0	4	African elephants are known for their distinctive tusks.	1
31	2	0	9	1	1	3	0	2	9	1	0	2	1	0	1	0	1	4.0	1	16	"Richard L. Jones, Jr. Airport (IATA: RVS) (often called the ""Riverside Airport"") is south of downtown and is a general aviation airport."	1
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Mary's lap.	1
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The volcano erupts violently.	1
22	0	0	5	2	0	2	1	1	9	1	0	1	0	0	1	1	0	3.0	0	17	Brian Johnson will fly his plane out of Richard L. Jones, Jr. Airport (IATA: RVS) this afternoon.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The airplane flew rapidly through the sky.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly on the horizon.	1
28	0	0	2	2	2	7	1	3	1	4	0	1	5	2	2	1	1	7.0	3	7	Flying over the Andes presents some unexpected challenges, including strong jet stream wind shear and steep terrain that can make for an uncomfortable and unpredictable flight.	1
14	0	1	1	2	0	3	1	3	0	2	0	1	0	1	2	0	0	3.0	1	6	The sun was setting over the horizon as I walked along the beach.	1
8	0	0	1	1	0	2	0	2	1	1	0	0	0	0	1	1	0	3.0	0	2	The airport serves the city of Portland.	1
9	0	0	2	1	0	3	1	1	0	1	0	0	0	0	1	1	0	3.0	0	3	Cats purred __________ the laps of their owners.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The plane soared over the mountains.	1
14	0	1	1	0	0	5	1	2	0	2	0	1	1	1	1	2	0	3.0	1	5	The company will expand its production capacity by building a new manufacturing facility.	1
6	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	2	The polar bear is swimming.	1
10	0	0	1	1	0	3	1	2	0	1	0	1	0	0	1	1	0	2.0	0	5	The tiger is stalking its prey through the forest.	1
20	1	0	1	3	0	5	0	2	0	1	1	1	5	0	2	1	0	4.0	0	11	The new smartphone can stream video in crystal clear quality with only one small window open on the screen.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets slowly over the city.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The volcano erupts.	1
16	1	0	2	2	0	4	1	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The train chugs along the coast, slowly making its way to the nearby town.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cheetah speeds down the savannah.	1
15	2	0	2	2	0	1	0	1	3	1	1	1	1	0	1	0	0	3.0	0	12	Buddhist is one of the fastest-growing religions globally, especially in Southeast Asia	1
7	0	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	2.0	0	4	Sally parked outside the movie theater.	1
26	2	0	9	1	0	1	0	2	9	2	0	0	0	1	1	0	0	4.0	1	8	"The aircraft landed safely at Richard L. Jones, Jr. Airport (IATA: RVS) (often called the ""Riverside Airport"")."	1
15	0	0	1	2	0	5	0	3	0	1	0	1	2	0	1	1	0	4.0	0	10	The company will issue a new set of regulations for all employees next month.	1
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	The penguins froze in their tracks. 	1
13	0	0	1	1	1	6	0	0	0	3	0	1	0	1	1	2	1	4.0	2	6	Drinking lemon water can help boost metabolism and aid digestion after meals.	1
6	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The plane is flying north.	1
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The airplane soared skyward.	1
13	1	0	2	2	0	4	0	2	0	1	0	0	1	0	1	0	0	3.0	0	7	The aircraft climbed gradually up the ladder-like rungs of ascent.	1
5	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	2	The polar bear slid.	1
8	1	0	1	0	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The snowpllow driver cleared the streets rapidly.	1
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	Birds fly south for the winter.	1
18	1	0	1	2	0	7	1	1	0	2	0	1	0	1	2	0	0	4.0	1	4	The company's board members were startled when they learned about executive's misuse of company credit.	3
14	1	0	2	2	0	4	0	3	0	2	0	0	0	1	1	1	0	3.0	1	4	In the beginning, the virus replicated uncontrollably spreading terror across the country;	3
15	0	0	3	0	1	3	1	3	0	3	0	1	0	0	1	3	0	3.0	0	9	She will paint a house, fix a fence, and trim a tree.	3
4	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	1	0	2.0	2	1	Enroll educate enrich.	3
9	2	0	2	0	0	3	1	0	0	1	0	0	0	0	1	1	0	3.0	0	5	She always drives carefully ______________ obey traffic rules.	3
19	0	0	3	1	1	5	2	1	0	4	0	0	1	1	1	2	0	4.0	1	10	The company decided to expand its operations, invest in new technology, and diversify its product line.	3
16	1	0	3	2	1	3	1	2	0	3	0	0	0	0	1	0	0	4.0	0	5	The puppy romped, wagged, and barked excitedly at the sight of its owner.	3
18	3	0	2	2	1	3	2	2	0	3	0	0	0	1	2	0	0	4.0	1	6	She climbed alone up the mountain and skied down, her blades slicing effortlessly through the snow.	3
26	4	0	5	1	0	2	2	1	1	4	0	2	2	2	2	3	1	3.0	3	7	Agreed, Enron's reputation had been sullied further by the recent _______________, which now made it even more essential to rebuild investor _______________.	3
22	1	0	3	3	1	5	0	3	1	3	1	0	0	0	1	1	0	3.0	0	13	The cat purred contentedly on Jack's lap, pawed at the keyboard, and typed a sentence with three verbs.	3
25	0	0	3	2	1	4	3	3	0	4	0	1	3	3	3	1	0	5.0	3	22	She decided to embark on an adventure, exploring distant shores, and the only thing she took with her was a curious heart.	3
18	0	0	3	2	1	5	0	4	0	3	0	0	0	0	1	1	0	4.0	0	5	The lioness prowled, pounced, and deposited a kill in the shade of a baobab tree. 	3
14	1	0	3	1	1	4	0	2	0	1	0	1	0	0	1	0	0	3.0	0	5	The elephant will soon stomp upon the zebra, tiger, and buffalo.	3
17	2	0	2	1	1	2	2	1	1	3	0	1	1	0	1	3	1	3.0	1	6	Having finally received the letter, John eagerly opened it and read it with great anticipation.	3
12	0	0	2	0	1	3	0	3	0	3	0	0	0	0	0	3	0	3.0	0	9	Enforce the laws, reform the institutions, and eradicate the disease	3
13	0	0	3	1	1	4	0	1	0	1	0	0	2	0	1	0	0	3.0	0	6	Enforcement, sanctions, and prosecution become mandatory for any non-compliant country.	3
9	0	0	2	0	1	0	3	0	0	3	0	0	0	1	3	0	0	2.0	1	7	She decided, he drove, and they shopped	3
16	0	0	3	2	1	3	0	2	0	3	0	1	1	0	1	0	0	3.0	0	9	The employee was reprimanded, transferred to a different department, and demoted in rank.	3
22	1	0	4	2	1	3	1	3	0	4	0	1	2	1	1	0	0	3.0	1	11	Which is the best option for the upcoming vacation when choosing from the options; fly, train, and drive.	3
8	0	0	1	0	0	3	0	1	1	1	0	1	0	0	1	1	0	2.0	0	4	Enid will attend the party tomorrow evening. She will bring her best dress and a new hat. They will be served champagne and canapes.	3
25	1	2	1	2	2	6	0	4	0	3	0	4	0	1	3	1	0	5.0	1	8	The manager must quickly inform the board that the issue has been resolved and that the project will finish on time and under budget.	3
17	1	0	2	2	0	4	0	3	0	3	0	0	1	1	1	1	0	3.0	1	8	In the face of public scrutiny, the company frantically regroups to address the mounting allegations.	3
15	1	0	1	3	1	4	0	3	0	2	0	0	0	0	1	1	0	3.0	0	7	The cat lapped up the cream with satisfaction and purred contentedly on the sofa.	3
16	0	0	1	3	1	4	0	4	0	3	0	0	0	1	1	0	0	4.0	1	5	The cat pounced on the mouse sprinted across the table and vanished in the bushes.	3
7	1	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	2.0	0	3	Several astronauts swam vigorously towards space.	3
23	1	0	2	3	1	8	1	4	0	2	0	0	1	1	1	0	0	6.0	1	6	The gorilla swung slothfully through the forest canopy, its massive frame blending with the vines and leaves like a living camouflage.	3
20	1	0	2	1	2	7	0	2	0	3	0	0	2	0	2	2	1	3.0	1	7	In a world where technology reigns Supreme, algorithms predict success and obsolescence, and creativity dies a slow death	3
14	3	0	3	1	1	1	0	1	1	3	0	0	0	1	1	0	0	4.0	1	4	Mary smiled brightly, skiing skillfully, and dancing joyfully on the ice.	3
13	0	0	4	1	1	3	0	1	0	1	1	0	1	0	0	0	0	3.0	0	7	Hunting, snaring, and capturing, all in one thrilling afternoon.	3
13	0	1	1	2	0	3	2	1	1	2	0	0	0	1	2	0	0	3.0	1	7	Terry ran toward the store with his coat slung over his shoulder.	3
9	1	1	1	0	0	1	0	0	1	2	0	0	2	1	1	1	0	3.0	1	3	Enron profited significantly without incurring direct environmental costs.	3
17	0	0	3	3	1	3	2	2	0	3	0	0	0	0	1	2	0	3.0	0	11	She walked to the river, picked up a fish, and cooked it for dinner.	3
16	0	0	3	1	1	5	0	3	0	2	0	0	1	0	2	0	0	3.0	0	5	The sun set, the cat purred, and the artist painted with vivid brushstrokes.	3
18	0	2	3	1	0	5	0	2	0	3	0	2	0	2	3	0	0	3.0	2	6	Mother, the judge, declared that the suspect would remain in custody unless bail is secured.	3
10	1	0	0	1	0	1	2	1	0	2	0	1	0	1	1	1	0	4.0	1	3	She was eagerly awaiting for someone to explain the solution	3
12	1	0	3	1	0	2	0	2	0	3	0	0	0	0	1	0	0	3.0	0	4	The snowflakes twirled, spun, danced in the breeze outside.	3
24	1	0	3	1	1	5	0	4	0	3	0	2	3	1	1	2	0	4.0	1	9	The new employee will soon learn the skills, adopt new behaviors, and prove to be a valuable asset to the team.	3
5	0	0	1	0	0	2	0	0	0	2	0	0	0	1	2	0	0	2.0	1	2	Enroll ignites enriches energizes.	3
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Steve's lap.	3
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The elephants slowly trumpeted in the heat.	3
13	0	0	2	0	1	3	1	3	0	3	0	0	0	0	1	3	0	3.0	0	8	She washed the dishes, ironed the clothes and swept the floor.	3
7	0	0	0	1	0	2	0	0	1	2	0	1	0	1	1	1	0	3.0	1	3	Jenny will cook eat play before bed	3
14	0	0	2	3	0	2	1	2	0	3	0	1	0	0	2	0	2	3.0	2	12	Based on the given instruction, the sentence I came up with is: The puppy chased the squirrel while eating a cookie. 	3
16	0	0	3	1	1	7	0	1	0	3	0	0	0	0	2	1	0	4.0	0	9	The baker brewed bread, barista poured coffee, and chef sliced ham for lunch.	3
18	0	0	4	1	1	6	0	3	0	2	0	0	1	0	1	2	0	3.0	0	5	The chef stir-fries, seasoned the sauce, and garnished the dish with fresh herbs.	3
14	1	1	2	2	0	1	4	1	0	2	0	0	0	1	2	1	0	3.0	1	6	The ball bounced between them, until she threw it back to him.	3
16	0	0	3	1	1	5	0	2	0	2	0	1	1	1	1	0	1	3.0	2	9	Enjoying, jumping, and snoring were the main noises coming from the living room.	3
20	1	0	3	3	2	3	1	2	0	4	0	0	1	1	1	0	0	4.0	1	13	They walked down the street, laughing and waving at passersby, and eventually arrived at the cozy café.	3
13	2	1	0	1	0	3	3	0	1	2	0	0	0	1	2	1	0	4.0	1	3	His family vacation to Hawaii began as soon as he quit his job	3
